<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,15/01/18,00:00,56.3619000
USDRUB,D,16/01/18,00:00,56.5560000
USDRUB,D,17/01/18,00:00,56.7844000
USDRUB,D,18/01/18,00:00,56.5220000
USDRUB,D,19/01/18,00:00,56.7130000
USDRUB,D,20/01/18,00:00,56.6926000
USDRUB,D,21/01/18,00:00,56.6571000
USDRUB,D,22/01/18,00:00,56.4746000
USDRUB,D,23/01/18,00:00,56.3858000
USDRUB,D,24/01/18,00:00,56.1478000
USDRUB,D,25/01/18,00:00,55.8690000
USDRUB,D,26/01/18,00:00,56.2245000
USDRUB,D,27/01/18,00:00,56.2312000
USDRUB,D,28/01/18,00:00,56.1717000
USDRUB,D,29/01/18,00:00,56.3307000
USDRUB,D,30/01/18,00:00,56.3889000
USDRUB,D,31/01/18,00:00,56.2024000
USDRUB,D,01/02/18,00:00,55.9028000
USDRUB,D,02/02/18,00:00,56.5396000
USDRUB,D,03/02/18,00:00,56.5089000
USDRUB,D,04/02/18,00:00,56.1881000
USDRUB,D,05/02/18,00:00,57.2871000
USDRUB,D,06/02/18,00:00,56.8300000
USDRUB,D,07/02/18,00:00,57.7690000
USDRUB,D,08/02/18,00:00,58.4326000
USDRUB,D,09/02/18,00:00,58.3512000
USDRUB,D,10/02/18,00:00,58.3858000
USDRUB,D,11/02/18,00:00,58.3500000
USDRUB,D,12/02/18,00:00,57.7926000
USDRUB,D,13/02/18,00:00,57.6296000
USDRUB,D,14/02/18,00:00,56.7303000
USDRUB,D,15/02/18,00:00,56.3920000
USDRUB,D,16/02/18,00:00,56.3825000
USDRUB,D,17/02/18,00:00,56.3940000
USDRUB,D,18/02/18,00:00,56.4809000
USDRUB,D,19/02/18,00:00,56.4483000
USDRUB,D,20/02/18,00:00,56.4913000
USDRUB,D,21/02/18,00:00,56.7794000
USDRUB,D,22/02/18,00:00,56.5000000
USDRUB,D,23/02/18,00:00,56.3238000
USDRUB,D,24/02/18,00:00,56.3800000
USDRUB,D,25/02/18,00:00,56.1100000
USDRUB,D,26/02/18,00:00,55.7122000
USDRUB,D,27/02/18,00:00,56.2520000
USDRUB,D,28/02/18,00:00,56.3472000
USDRUB,D,01/03/18,00:00,56.8083000
USDRUB,D,02/03/18,00:00,56.8220000
USDRUB,D,03/03/18,00:00,56.7950000
USDRUB,D,04/03/18,00:00,57.0320000
USDRUB,D,05/03/18,00:00,56.3841000
USDRUB,D,06/03/18,00:00,56.6494000
USDRUB,D,07/03/18,00:00,56.8369000
USDRUB,D,08/03/18,00:00,57.0523000
USDRUB,D,09/03/18,00:00,56.6480000
USDRUB,D,10/03/18,00:00,56.6563000
USDRUB,D,11/03/18,00:00,56.7982000
USDRUB,D,12/03/18,00:00,56.9238000
USDRUB,D,13/03/18,00:00,57.0488000
USDRUB,D,14/03/18,00:00,57.1390000
USDRUB,D,15/03/18,00:00,57.4306000
USDRUB,D,16/03/18,00:00,57.4925000
USDRUB,D,17/03/18,00:00,57.5227000
USDRUB,D,18/03/18,00:00,57.3982000
USDRUB,D,19/03/18,00:00,57.7245000
USDRUB,D,20/03/18,00:00,57.5824000
USDRUB,D,21/03/18,00:00,56.8664000
USDRUB,D,22/03/18,00:00,57.2480000
USDRUB,D,23/03/18,00:00,57.2110000
USDRUB,D,24/03/18,00:00,57.2295000
USDRUB,D,25/03/18,00:00,57.2920000
USDRUB,D,26/03/18,00:00,57.1562000
USDRUB,D,27/03/18,00:00,57.3964000
USDRUB,D,28/03/18,00:00,57.7240000
USDRUB,D,29/03/18,00:00,57.2590000
USDRUB,D,30/03/18,00:00,57.3855000
USDRUB,D,31/03/18,00:00,57.2325000
USDRUB,D,01/04/18,00:00,57.1868000
USDRUB,D,02/04/18,00:00,57.2510000
USDRUB,D,03/04/18,00:00,57.6210000
USDRUB,D,04/04/18,00:00,57.3990000
USDRUB,D,05/04/18,00:00,57.6890000
USDRUB,D,06/04/18,00:00,58.0615000
USDRUB,D,07/04/18,00:00,58.1600000
USDRUB,D,08/04/18,00:00,58.0954000
USDRUB,D,09/04/18,00:00,60.5130000
USDRUB,D,10/04/18,00:00,63.0667000
USDRUB,D,11/04/18,00:00,62.4342000
USDRUB,D,12/04/18,00:00,61.8822000
USDRUB,D,13/04/18,00:00,62.1138000
USDRUB,D,14/04/18,00:00,62.0431000
USDRUB,D,15/04/18,00:00,62.5765000
USDRUB,D,16/04/18,00:00,61.1190000
USDRUB,D,17/04/18,00:00,61.5033000
USDRUB,D,18/04/18,00:00,60.8304000
USDRUB,D,19/04/18,00:00,61.0132000
USDRUB,D,20/04/18,00:00,61.3608000
USDRUB,D,21/04/18,00:00,61.3904000
USDRUB,D,22/04/18,00:00,61.6015000
USDRUB,D,23/04/18,00:00,61.8680000
USDRUB,D,24/04/18,00:00,61.4988000
USDRUB,D,25/04/18,00:00,62.4121000
USDRUB,D,26/04/18,00:00,62.7979000
USDRUB,D,27/04/18,00:00,62.1242000
USDRUB,D,28/04/18,00:00,61.9651000
USDRUB,D,29/04/18,00:00,62.5630000
USDRUB,D,30/04/18,00:00,62.9551000
USDRUB,D,01/05/18,00:00,63.6199000
USDRUB,D,02/05/18,00:00,64.0515000
USDRUB,D,03/05/18,00:00,62.9668000
USDRUB,D,04/05/18,00:00,62.4434000
USDRUB,D,05/05/18,00:00,62.5365000
USDRUB,D,06/05/18,00:00,62.5172000
USDRUB,D,07/05/18,00:00,62.8940000
USDRUB,D,08/05/18,00:00,63.1256000
USDRUB,D,09/05/18,00:00,63.0935000
USDRUB,D,10/05/18,00:00,61.7994000
USDRUB,D,11/05/18,00:00,61.8932000
USDRUB,D,12/05/18,00:00,61.9185000
USDRUB,D,13/05/18,00:00,61.5700000
USDRUB,D,14/05/18,00:00,61.8656000
USDRUB,D,15/05/18,00:00,62.2719000
USDRUB,D,16/05/18,00:00,61.6990000
USDRUB,D,17/05/18,00:00,62.1596000
USDRUB,D,18/05/18,00:00,62.3586000
USDRUB,D,19/05/18,00:00,62.2605000
USDRUB,D,20/05/18,00:00,62.3293000
USDRUB,D,21/05/18,00:00,61.5546000
USDRUB,D,22/05/18,00:00,61.1830000
USDRUB,D,23/05/18,00:00,61.3060000
USDRUB,D,24/05/18,00:00,61.5604000
USDRUB,D,25/05/18,00:00,62.0214000
USDRUB,D,26/05/18,00:00,62.2150000
USDRUB,D,27/05/18,00:00,62.0344000
USDRUB,D,28/05/18,00:00,62.3156000
USDRUB,D,29/05/18,00:00,62.8745000
USDRUB,D,30/05/18,00:00,62.0830000
USDRUB,D,31/05/18,00:00,62.4124000
USDRUB,D,01/06/18,00:00,62.1835000
USDRUB,D,02/06/18,00:00,62.1931000
USDRUB,D,03/06/18,00:00,62.1016000
USDRUB,D,04/06/18,00:00,62.0290000
USDRUB,D,05/06/18,00:00,62.1384000
USDRUB,D,06/06/18,00:00,61.7790000
USDRUB,D,07/06/18,00:00,62.3790000
USDRUB,D,08/06/18,00:00,62.2874000
USDRUB,D,09/06/18,00:00,62.3368000
USDRUB,D,10/06/18,00:00,62.4296000
USDRUB,D,11/06/18,00:00,62.8075000
USDRUB,D,12/06/18,00:00,63.0888000
USDRUB,D,13/06/18,00:00,62.5715000
USDRUB,D,14/06/18,00:00,62.5600000
USDRUB,D,15/06/18,00:00,63.1143000
USDRUB,D,16/06/18,00:00,63.1532000
USDRUB,D,17/06/18,00:00,63.0959000
USDRUB,D,18/06/18,00:00,63.3315000
USDRUB,D,19/06/18,00:00,63.8590000
USDRUB,D,20/06/18,00:00,63.5900000
USDRUB,D,21/06/18,00:00,63.6185000
USDRUB,D,22/06/18,00:00,63.0489000
USDRUB,D,23/06/18,00:00,62.9212000
USDRUB,D,24/06/18,00:00,62.8928000
USDRUB,D,25/06/18,00:00,62.8926000
USDRUB,D,26/06/18,00:00,63.1080000
USDRUB,D,27/06/18,00:00,63.1282000
USDRUB,D,28/06/18,00:00,62.8110000
USDRUB,D,29/06/18,00:00,62.7537000
USDRUB,D,30/06/18,00:00,62.7692000
USDRUB,D,01/07/18,00:00,62.9105000
USDRUB,D,02/07/18,00:00,63.3948000
USDRUB,D,03/07/18,00:00,63.1120000
USDRUB,D,04/07/18,00:00,63.2710000
USDRUB,D,05/07/18,00:00,63.0912000
USDRUB,D,06/07/18,00:00,62.9860000
USDRUB,D,07/07/18,00:00,62.9596000
USDRUB,D,08/07/18,00:00,62.9407000
USDRUB,D,09/07/18,00:00,62.4023000
USDRUB,D,10/07/18,00:00,61.7835000
USDRUB,D,11/07/18,00:00,62.3790000
USDRUB,D,12/07/18,00:00,62.2105000
USDRUB,D,13/07/18,00:00,62.5375000
USDRUB,D,14/07/18,00:00,62.5520000
USDRUB,D,15/07/18,00:00,62.4790000
USDRUB,D,16/07/18,00:00,62.3803000
USDRUB,D,17/07/18,00:00,62.6326000
USDRUB,D,18/07/18,00:00,63.0118000
USDRUB,D,19/07/18,00:00,63.5920000
USDRUB,D,20/07/18,00:00,62.7398000
USDRUB,D,21/07/18,00:00,63.4841000
USDRUB,D,22/07/18,00:00,63.3440000
USDRUB,D,23/07/18,00:00,63.0490000
USDRUB,D,24/07/18,00:00,63.3190000
USDRUB,D,25/07/18,00:00,62.7848000
USDRUB,D,26/07/18,00:00,62.9450000
USDRUB,D,27/07/18,00:00,62.5442000
USDRUB,D,28/07/18,00:00,62.7750000
USDRUB,D,29/07/18,00:00,62.6670000
USDRUB,D,30/07/18,00:00,62.2371000
USDRUB,D,31/07/18,00:00,62.5170000
USDRUB,D,01/08/18,00:00,62.8913000
USDRUB,D,02/08/18,00:00,63.3423000
USDRUB,D,03/08/18,00:00,63.8555000
USDRUB,D,04/08/18,00:00,63.3170000
USDRUB,D,05/08/18,00:00,63.3806000
USDRUB,D,06/08/18,00:00,63.7390000
USDRUB,D,07/08/18,00:00,63.5055000
USDRUB,D,08/08/18,00:00,65.5829000
USDRUB,D,09/08/18,00:00,66.6078000
USDRUB,D,10/08/18,00:00,67.6124000
USDRUB,D,11/08/18,00:00,67.6926000
USDRUB,D,12/08/18,00:00,67.8921000
USDRUB,D,13/08/18,00:00,67.5250000
USDRUB,D,14/08/18,00:00,66.2816000
USDRUB,D,15/08/18,00:00,67.2720000
USDRUB,D,16/08/18,00:00,66.8190000
USDRUB,D,17/08/18,00:00,66.9862000
USDRUB,D,18/08/18,00:00,67.0292000
USDRUB,D,19/08/18,00:00,67.1810000
USDRUB,D,20/08/18,00:00,67.1112000
USDRUB,D,21/08/18,00:00,67.3068000
USDRUB,D,22/08/18,00:00,68.0760000
USDRUB,D,23/08/18,00:00,68.2105000
USDRUB,D,24/08/18,00:00,67.2300000
USDRUB,D,25/08/18,00:00,67.1653000
USDRUB,D,26/08/18,00:00,67.4366000
USDRUB,D,27/08/18,00:00,67.3580000
USDRUB,D,28/08/18,00:00,67.8600000
USDRUB,D,29/08/18,00:00,68.0741000
USDRUB,D,30/08/18,00:00,68.2435000
USDRUB,D,31/08/18,00:00,67.4239000
USDRUB,D,01/09/18,00:00,67.4779000
USDRUB,D,02/09/18,00:00,67.5646000
USDRUB,D,03/09/18,00:00,67.8954000
USDRUB,D,04/09/18,00:00,68.1545000
USDRUB,D,05/09/18,00:00,68.1905000
USDRUB,D,06/09/18,00:00,69.2380000
USDRUB,D,07/09/18,00:00,70.0175000
USDRUB,D,08/09/18,00:00,69.9150000
USDRUB,D,09/09/18,00:00,69.5457000
USDRUB,D,10/09/18,00:00,70.5190000
USDRUB,D,11/09/18,00:00,69.3771000
USDRUB,D,12/09/18,00:00,68.8607000
USDRUB,D,13/09/18,00:00,68.2930000
USDRUB,D,14/09/18,00:00,68.0660000
USDRUB,D,15/09/18,00:00,68.0870000
USDRUB,D,16/09/18,00:00,68.0531000
USDRUB,D,17/09/18,00:00,68.0620000
USDRUB,D,18/09/18,00:00,67.2890000
USDRUB,D,19/09/18,00:00,66.6925000
USDRUB,D,20/09/18,00:00,66.2981000
USDRUB,D,21/09/18,00:00,66.3181000
USDRUB,D,22/09/18,00:00,66.4235000
USDRUB,D,23/09/18,00:00,66.6192000
USDRUB,D,24/09/18,00:00,66.0113000
USDRUB,D,25/09/18,00:00,65.8210000
USDRUB,D,26/09/18,00:00,65.8603000
USDRUB,D,27/09/18,00:00,65.5565000
USDRUB,D,28/09/18,00:00,65.5748000
USDRUB,D,29/09/18,00:00,65.5421000
USDRUB,D,30/09/18,00:00,65.5062000
USDRUB,D,01/10/18,00:00,64.9920000
USDRUB,D,02/10/18,00:00,65.4834000
USDRUB,D,03/10/18,00:00,65.8490000
USDRUB,D,04/10/18,00:00,66.8385000
USDRUB,D,05/10/18,00:00,66.5845000
USDRUB,D,06/10/18,00:00,66.5987000
USDRUB,D,07/10/18,00:00,66.6400000
USDRUB,D,08/10/18,00:00,66.5853000
USDRUB,D,09/10/18,00:00,66.2334000
USDRUB,D,10/10/18,00:00,66.8566000
USDRUB,D,11/10/18,00:00,66.2888000
USDRUB,D,12/10/18,00:00,66.0550000
USDRUB,D,13/10/18,00:00,66.0540000
USDRUB,D,14/10/18,00:00,66.0500000
USDRUB,D,15/10/18,00:00,65.6203000
USDRUB,D,16/10/18,00:00,65.3488000
USDRUB,D,17/10/18,00:00,65.5105000
USDRUB,D,18/10/18,00:00,65.7900000
USDRUB,D,19/10/18,00:00,65.4530000
USDRUB,D,20/10/18,00:00,65.4830000
USDRUB,D,21/10/18,00:00,65.5928000
USDRUB,D,22/10/18,00:00,65.1641000
USDRUB,D,23/10/18,00:00,65.4256000
USDRUB,D,24/10/18,00:00,65.6030000
USDRUB,D,25/10/18,00:00,65.6144000
USDRUB,D,26/10/18,00:00,65.3730000
USDRUB,D,27/10/18,00:00,65.6488000
USDRUB,D,28/10/18,00:00,65.4542000
USDRUB,D,29/10/18,00:00,65.8240000
USDRUB,D,30/10/18,00:00,65.4490000
USDRUB,D,31/10/18,00:00,65.8665000
USDRUB,D,01/11/18,00:00,65.6562000
USDRUB,D,02/11/18,00:00,66.1210000
USDRUB,D,03/11/18,00:00,66.1730000
USDRUB,D,04/11/18,00:00,66.1340000
USDRUB,D,05/11/18,00:00,66.0181000
USDRUB,D,06/11/18,00:00,66.0930000
USDRUB,D,07/11/18,00:00,66.3100000
USDRUB,D,08/11/18,00:00,66.8795000
USDRUB,D,09/11/18,00:00,67.9080000
USDRUB,D,10/11/18,00:00,67.9438000
USDRUB,D,11/11/18,00:00,67.9025000
USDRUB,D,12/11/18,00:00,67.8863000
USDRUB,D,13/11/18,00:00,68.1015000
USDRUB,D,14/11/18,00:00,67.0521000
USDRUB,D,15/11/18,00:00,65.8490000
USDRUB,D,16/11/18,00:00,66.0592000
USDRUB,D,17/11/18,00:00,66.0051000
USDRUB,D,18/11/18,00:00,66.0082000
USDRUB,D,19/11/18,00:00,65.5824000
USDRUB,D,20/11/18,00:00,66.1482000
USDRUB,D,21/11/18,00:00,65.6660000
USDRUB,D,22/11/18,00:00,65.6599000
USDRUB,D,23/11/18,00:00,66.1754000
USDRUB,D,24/11/18,00:00,66.2441000
USDRUB,D,25/11/18,00:00,66.4396000
USDRUB,D,26/11/18,00:00,67.1039000
USDRUB,D,27/11/18,00:00,67.0660000
USDRUB,D,28/11/18,00:00,67.0190000
USDRUB,D,29/11/18,00:00,66.1350000
USDRUB,D,30/11/18,00:00,66.9900000
USDRUB,D,01/12/18,00:00,67.0790000
USDRUB,D,02/12/18,00:00,67.0820000
USDRUB,D,03/12/18,00:00,66.5060000
USDRUB,D,04/12/18,00:00,66.7760000
USDRUB,D,05/12/18,00:00,66.5438000
USDRUB,D,06/12/18,00:00,66.8660000
USDRUB,D,07/12/18,00:00,66.3700000
USDRUB,D,08/12/18,00:00,66.4036000
USDRUB,D,09/12/18,00:00,66.3752000
USDRUB,D,10/12/18,00:00,66.6260000
USDRUB,D,11/12/18,00:00,66.3510000
USDRUB,D,12/12/18,00:00,66.3515000
USDRUB,D,13/12/18,00:00,66.1920000
USDRUB,D,14/12/18,00:00,66.5355000
USDRUB,D,15/12/18,00:00,66.7506000
USDRUB,D,16/12/18,00:00,66.5977000
USDRUB,D,17/12/18,00:00,66.6044000
USDRUB,D,18/12/18,00:00,67.3090000
USDRUB,D,19/12/18,00:00,67.4511000
USDRUB,D,20/12/18,00:00,68.2511000
USDRUB,D,21/12/18,00:00,68.8879000
USDRUB,D,22/12/18,00:00,68.9494000
USDRUB,D,23/12/18,00:00,68.9950000
USDRUB,D,24/12/18,00:00,68.5996000
USDRUB,D,25/12/18,00:00,68.3978000
USDRUB,D,26/12/18,00:00,68.7667000
USDRUB,D,27/12/18,00:00,69.4772000
USDRUB,D,28/12/18,00:00,69.5342000
USDRUB,D,29/12/18,00:00,69.5235000
USDRUB,D,30/12/18,00:00,69.5929000
USDRUB,D,31/12/18,00:00,69.6929000
USDRUB,D,01/01/19,00:00,69.7045000
USDRUB,D,02/01/19,00:00,68.9165000
USDRUB,D,03/01/19,00:00,68.7099000
USDRUB,D,04/01/19,00:00,67.5415000
USDRUB,D,05/01/19,00:00,67.6321000
USDRUB,D,06/01/19,00:00,68.1750000
USDRUB,D,07/01/19,00:00,66.6696000
USDRUB,D,08/01/19,00:00,66.9198000
USDRUB,D,09/01/19,00:00,66.7473000
USDRUB,D,10/01/19,00:00,66.8545000
USDRUB,D,11/01/19,00:00,66.8571000
USDRUB,D,12/01/19,00:00,66.8887000
USDRUB,D,13/01/19,00:00,66.8683000
USDRUB,D,14/01/19,00:00,66.9800000
USDRUB,D,15/01/19,00:00,66.9527000
USDRUB,D,16/01/19,00:00,66.3266000
USDRUB,D,17/01/19,00:00,66.3215000
USDRUB,D,18/01/19,00:00,66.1866000
USDRUB,D,19/01/19,00:00,66.2130000
USDRUB,D,20/01/19,00:00,66.1447000
USDRUB,D,21/01/19,00:00,66.3768000
USDRUB,D,22/01/19,00:00,66.5150000
USDRUB,D,23/01/19,00:00,66.0603000
USDRUB,D,24/01/19,00:00,65.7346000
USDRUB,D,25/01/19,00:00,65.9380000
USDRUB,D,26/01/19,00:00,66.0045000
USDRUB,D,27/01/19,00:00,66.5531000
USDRUB,D,28/01/19,00:00,66.2540000
USDRUB,D,29/01/19,00:00,66.0080000
USDRUB,D,30/01/19,00:00,65.4597000
USDRUB,D,31/01/19,00:00,65.3415000
USDRUB,D,01/02/19,00:00,65.4415000
USDRUB,D,02/02/19,00:00,65.4623000
USDRUB,D,03/02/19,00:00,65.4740000
USDRUB,D,04/02/19,00:00,65.5785000
USDRUB,D,05/02/19,00:00,65.6030000
USDRUB,D,06/02/19,00:00,65.8716000
USDRUB,D,07/02/19,00:00,65.8771000
USDRUB,D,08/02/19,00:00,65.7237000
USDRUB,D,09/02/19,00:00,65.5811000
USDRUB,D,10/02/19,00:00,65.4607000
USDRUB,D,11/02/19,00:00,65.7753000
USDRUB,D,12/02/19,00:00,65.8077000
USDRUB,D,13/02/19,00:00,66.4911000
USDRUB,D,14/02/19,00:00,66.6482000
USDRUB,D,15/02/19,00:00,66.2698000
USDRUB,D,16/02/19,00:00,66.3109000
USDRUB,D,17/02/19,00:00,66.1304000
USDRUB,D,18/02/19,00:00,66.1976000
USDRUB,D,19/02/19,00:00,65.7714000
USDRUB,D,20/02/19,00:00,65.6666000
USDRUB,D,21/02/19,00:00,65.5255000
USDRUB,D,22/02/19,00:00,65.3501000
USDRUB,D,23/02/19,00:00,65.3770000
USDRUB,D,24/02/19,00:00,65.3770000
USDRUB,D,25/02/19,00:00,65.5186000
USDRUB,D,26/02/19,00:00,65.6967000
USDRUB,D,27/02/19,00:00,65.7502000
USDRUB,D,28/02/19,00:00,65.9150000
USDRUB,D,01/03/19,00:00,65.9155000
USDRUB,D,02/03/19,00:00,65.9320000
USDRUB,D,03/03/19,00:00,65.9320000
USDRUB,D,04/03/19,00:00,65.7628000
USDRUB,D,05/03/19,00:00,65.7880000
USDRUB,D,06/03/19,00:00,65.9480000
USDRUB,D,07/03/19,00:00,66.2490000
USDRUB,D,08/03/19,00:00,66.2817000
USDRUB,D,09/03/19,00:00,66.3572000
USDRUB,D,10/03/19,00:00,66.4196000
USDRUB,D,11/03/19,00:00,65.8633000
USDRUB,D,12/03/19,00:00,65.5311000
USDRUB,D,13/03/19,00:00,65.3890000
USDRUB,D,14/03/19,00:00,65.4655000
USDRUB,D,15/03/19,00:00,64.7930000
USDRUB,D,16/03/19,00:00,64.8120000
USDRUB,D,17/03/19,00:00,64.8202000
USDRUB,D,18/03/19,00:00,64.3272000
USDRUB,D,19/03/19,00:00,64.3746000
USDRUB,D,20/03/19,00:00,63.8185000
USDRUB,D,21/03/19,00:00,63.8643000
USDRUB,D,22/03/19,00:00,64.6738000
USDRUB,D,23/03/19,00:00,64.6511000
USDRUB,D,24/03/19,00:00,64.5010000
USDRUB,D,25/03/19,00:00,63.9653000
USDRUB,D,26/03/19,00:00,64.3690000
USDRUB,D,27/03/19,00:00,64.8225000
USDRUB,D,28/03/19,00:00,65.0964000
USDRUB,D,29/03/19,00:00,65.6700000
USDRUB,D,30/03/19,00:00,65.6449000
USDRUB,D,31/03/19,00:00,65.6130000
USDRUB,D,01/04/19,00:00,65.1921000
USDRUB,D,02/04/19,00:00,65.3060000
USDRUB,D,03/04/19,00:00,65.2188000
USDRUB,D,04/04/19,00:00,65.4288000
USDRUB,D,05/04/19,00:00,65.2087000
USDRUB,D,06/04/19,00:00,65.3016000
USDRUB,D,07/04/19,00:00,65.5268000
USDRUB,D,08/04/19,00:00,64.8575000
USDRUB,D,09/04/19,00:00,64.9258000
USDRUB,D,10/04/19,00:00,64.3250000
USDRUB,D,11/04/19,00:00,64.5876000
USDRUB,D,12/04/19,00:00,64.2821000
USDRUB,D,13/04/19,00:00,64.3100000
USDRUB,D,14/04/19,00:00,64.3243000
USDRUB,D,15/04/19,00:00,64.2838000
USDRUB,D,16/04/19,00:00,64.0705000
USDRUB,D,17/04/19,00:00,63.8038000
USDRUB,D,18/04/19,00:00,63.8320000
USDRUB,D,19/04/19,00:00,63.9901000
USDRUB,D,20/04/19,00:00,64.0307000
USDRUB,D,21/04/19,00:00,63.9730000
USDRUB,D,22/04/19,00:00,63.8038000
USDRUB,D,23/04/19,00:00,63.6940000
USDRUB,D,24/04/19,00:00,64.5778000
USDRUB,D,25/04/19,00:00,64.5464000
USDRUB,D,26/04/19,00:00,64.6795000
USDRUB,D,27/04/19,00:00,64.7469000
USDRUB,D,28/04/19,00:00,64.9908000
USDRUB,D,29/04/19,00:00,64.4386000
USDRUB,D,30/04/19,00:00,64.5876000
USDRUB,D,01/05/19,00:00,64.9227000
USDRUB,D,02/05/19,00:00,65.3687000
USDRUB,D,03/05/19,00:00,65.0395000
USDRUB,D,04/05/19,00:00,65.0714000
USDRUB,D,05/05/19,00:00,65.3150000
USDRUB,D,06/05/19,00:00,65.2100000
USDRUB,D,07/05/19,00:00,65.3872000
USDRUB,D,08/05/19,00:00,64.9760000
USDRUB,D,09/05/19,00:00,65.2242000
USDRUB,D,10/05/19,00:00,65.1452000
USDRUB,D,11/05/19,00:00,65.1369000
USDRUB,D,12/05/19,00:00,64.9134000
USDRUB,D,13/05/19,00:00,65.3670000
USDRUB,D,14/05/19,00:00,64.8913000
USDRUB,D,15/05/19,00:00,64.5975000
USDRUB,D,16/05/19,00:00,64.5988000
USDRUB,D,17/05/19,00:00,64.7615000
USDRUB,D,18/05/19,00:00,64.7517000
USDRUB,D,19/05/19,00:00,64.7591000
USDRUB,D,20/05/19,00:00,64.5414000
USDRUB,D,21/05/19,00:00,64.3692000
USDRUB,D,22/05/19,00:00,64.2987000
USDRUB,D,23/05/19,00:00,64.8412000
USDRUB,D,24/05/19,00:00,64.4776000
USDRUB,D,25/05/19,00:00,64.4523000
USDRUB,D,26/05/19,00:00,64.4121000
USDRUB,D,27/05/19,00:00,64.3131000
USDRUB,D,28/05/19,00:00,64.6750000
USDRUB,D,29/05/19,00:00,64.9205000
USDRUB,D,30/05/19,00:00,65.2016000
USDRUB,D,31/05/19,00:00,65.3803000
USDRUB,D,01/06/19,00:00,65.5860000
USDRUB,D,02/06/19,00:00,65.5377000
USDRUB,D,03/06/19,00:00,65.2228000
USDRUB,D,04/06/19,00:00,65.1456000
USDRUB,D,05/06/19,00:00,65.3030000
USDRUB,D,06/06/19,00:00,65.0930000
USDRUB,D,07/06/19,00:00,64.9419000
USDRUB,D,08/06/19,00:00,64.3670000
USDRUB,D,09/06/19,00:00,64.5829000
USDRUB,D,10/06/19,00:00,64.6877000
USDRUB,D,11/06/19,00:00,64.5060000
USDRUB,D,12/06/19,00:00,64.8838000
USDRUB,D,13/06/19,00:00,64.5490000
USDRUB,D,14/06/19,00:00,64.3605000
USDRUB,D,15/06/19,00:00,64.3670000
USDRUB,D,16/06/19,00:00,64.2679000
USDRUB,D,17/06/19,00:00,64.2980000
USDRUB,D,18/06/19,00:00,63.9930000
USDRUB,D,19/06/19,00:00,63.6930000
USDRUB,D,20/06/19,00:00,62.8381000
USDRUB,D,21/06/19,00:00,63.0000000
USDRUB,D,22/06/19,00:00,63.0000000
USDRUB,D,23/06/19,00:00,63.0067000
USDRUB,D,24/06/19,00:00,62.5410000
USDRUB,D,25/06/19,00:00,62.8450000
USDRUB,D,26/06/19,00:00,62.9728000
USDRUB,D,27/06/19,00:00,63.0401000
USDRUB,D,28/06/19,00:00,63.3840000
USDRUB,D,29/06/19,00:00,63.1671000
USDRUB,D,30/06/19,00:00,63.0762000
USDRUB,D,01/07/19,00:00,62.8473000
USDRUB,D,02/07/19,00:00,63.2530000
USDRUB,D,03/07/19,00:00,63.2500000
